城市,城市代码,城镇,城镇代码,市辖区县,市辖区县代码,省份
济南市,370100000000,,,,,山东省
青岛市,370200000000,,,,,山东省
淄博市,370300000000,,,,,山东省
枣庄市,370400000000,,,,,山东省
东营市,370500000000,,,,,山东省
烟台市,370600000000,,,,,山东省
潍坊市,370700000000,,,,,山东省
济宁市,370800000000,,,,,山东省
泰安市,370900000000,,,,,山东省
威海市,371000000000,,,,,山东省
日照市,371100000000,,,,,山东省
莱芜市,371200000000,,,,,山东省
临沂市,371300000000,,,,,山东省
德州市,371400000000,,,,,山东省
聊城市,371500000000,,,,,山东省
滨州市,371600000000,,,,,山东省
菏泽市,371700000000,,,,,山东省
市辖区,310100000000,,,,,上海市
福州市,350100000000,,,,,福建省
厦门市,350200000000,,,,,福建省
莆田市,350300000000,,,,,福建省
三明市,350400000000,,,,,福建省
泉州市,350500000000,,,,,福建省
漳州市,350600000000,,,,,福建省
南平市,350700000000,,,,,福建省
龙岩市,350800000000,,,,,福建省
宁德市,350900000000,,,,,福建省
杭州市,330100000000,,,,,浙江省
宁波市,330200000000,,,,,浙江省
温州市,330300000000,,,,,浙江省
嘉兴市,330400000000,,,,,浙江省
湖州市,330500000000,,,,,浙江省
绍兴市,330600000000,,,,,浙江省
金华市,330700000000,,,,,浙江省
衢州市,330800000000,,,,,浙江省
舟山市,330900000000,,,,,浙江省
台州市,331000000000,,,,,浙江省
丽水市,331100000000,,,,,浙江省
长春市,220100000000,,,,,吉林省
吉林市,220200000000,,,,,吉林省
四平市,220300000000,,,,,吉林省
辽源市,220400000000,,,,,吉林省
通化市,220500000000,,,,,吉林省
白山市,220600000000,,,,,吉林省
松原市,220700000000,,,,,吉林省
白城市,220800000000,,,,,吉林省
延边朝鲜族自治州,222400000000,,,,,吉林省
哈尔滨市,230100000000,,,,,黑龙江省
齐齐哈尔市,230200000000,,,,,黑龙江省
鸡西市,230300000000,,,,,黑龙江省
鹤岗市,230400000000,,,,,黑龙江省
双鸭山市,230500000000,,,,,黑龙江省
大庆市,230600000000,,,,,黑龙江省
伊春市,230700000000,,,,,黑龙江省
佳木斯市,230800000000,,,,,黑龙江省
七台河市,230900000000,,,,,黑龙江省
牡丹江市,231000000000,,,,,黑龙江省
黑河市,231100000000,,,,,黑龙江省
绥化市,231200000000,,,,,黑龙江省
大兴安岭地区,232700000000,,,,,黑龙江省
合肥市,340100000000,,,,,安徽省
芜湖市,340200000000,,,,,安徽省
蚌埠市,340300000000,,,,,安徽省
淮南市,340400000000,,,,,安徽省
马鞍山市,340500000000,,,,,安徽省
淮北市,340600000000,,,,,安徽省
铜陵市,340700000000,,,,,安徽省
安庆市,340800000000,,,,,安徽省
黄山市,341000000000,,,,,安徽省
滁州市,341100000000,,,,,安徽省
阜阳市,341200000000,,,,,安徽省
南昌市,360100000000,,,,,江西省
景德镇市,360200000000,,,,,江西省
萍乡市,360300000000,,,,,江西省
南京市,320100000000,,,,,江苏省
无锡市,320200000000,,,,,江苏省
徐州市,320300000000,,,,,江苏省
常州市,320400000000,,,,,江苏省
苏州市,320500000000,,,,,江苏省
南通市,320600000000,,,,,江苏省
连云港市,320700000000,,,,,江苏省
淮安市,320800000000,,,,,江苏省
盐城市,320900000000,,,,,江苏省
扬州市,321000000000,,,,,江苏省
镇江市,321100000000,,,,,江苏省
泰州市,321200000000,,,,,江苏省
宿迁市,321300000000,,,,,江苏省
沈阳市,210100000000,,,,,辽宁省
大连市,210200000000,,,,,辽宁省
鞍山市,210300000000,,,,,辽宁省
抚顺市,210400000000,,,,,辽宁省
本溪市,210500000000,,,,,辽宁省
丹东市,210600000000,,,,,辽宁省
锦州市,210700000000,,,,,辽宁省
营口市,210800000000,,,,,辽宁省
阜新市,210900000000,,,,,辽宁省
辽阳市,211000000000,,,,,辽宁省
宿州市,341300000000,,,,,安徽省
六安市,341500000000,,,,,安徽省
亳州市,341600000000,,,,,安徽省
池州市,341700000000,,,,,安徽省
宣城市,341800000000,,,,,安徽省
九江市,360400000000,,,,,江西省
新余市,360500000000,,,,,江西省
鹰潭市,360600000000,,,,,江西省
赣州市,360700000000,,,,,江西省
吉安市,360800000000,,,,,江西省
宜春市,360900000000,,,,,江西省
抚州市,361000000000,,,,,江西省
上饶市,361100000000,,,,,江西省
呼和浩特市,150100000000,,,,,内蒙古自治区
太原市,140100000000,,,,,山西省
大同市,140200000000,,,,,山西省
阳泉市,140300000000,,,,,山西省
长治市,140400000000,,,,,山西省
晋城市,140500000000,,,,,山西省
朔州市,140600000000,,,,,山西省
晋中市,140700000000,,,,,山西省
运城市,140800000000,,,,,山西省
忻州市,140900000000,,,,,山西省
临汾市,141000000000,,,,,山西省
吕梁市,141100000000,,,,,山西省
盘锦市,211100000000,,,,,辽宁省
铁岭市,211200000000,,,,,辽宁省
朝阳市,211300000000,,,,,辽宁省
葫芦岛市,211400000000,,,,,辽宁省
石家庄市,130100000000,,,,,河北省
唐山市,130200000000,,,,,河北省
秦皇岛市,130300000000,,,,,河北省
邯郸市,130400000000,,,,,河北省
市辖区,120100000000,,,,,天津市
